Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Account,Chrome 65.0.3325.181,,2018-04-03 11:13:24,2018-04-03 11:21:07,7m - 42.796s,FAILED
,,,,,,
Test Cases/Account/Account_Change_data,Chrome 65.0.3325.181,,2018-04-03 11:13:25,2018-04-03 11:13:45,20.448s,FAILED
openBrowser,Chrome 65.0.3325.181,,2018-04-03 11:13:25,2018-04-03 11:13:28,2.971s,PASSED
navigateToUrl,Chrome 65.0.3325.181,,2018-04-03 11:13:28,2018-04-03 11:13:36,8.458s,PASSED
maximizeWindow,Chrome 65.0.3325.181,,2018-04-03 11:13:36,2018-04-03 11:13:38,1.196s,PASSED
click,Chrome 65.0.3325.181,,2018-04-03 11:13:38,2018-04-03 11:13:38,0.145s,PASSED
Statement - mydate = new java.util.Date(),Chrome 65.0.3325.181,,2018-04-03 11:13:38,2018-04-03 11:13:38,0.008s,PASSED
"Statement - dateHour = mydate.format(""HHmmss"")",Chrome 65.0.3325.181,,2018-04-03 11:13:38,2018-04-03 11:13:38,0.003s,PASSED
"Statement - x = ""time"" + dateHour",Chrome 65.0.3325.181,,2018-04-03 11:13:38,2018-04-03 11:13:38,0.000s,PASSED
setText,Chrome 65.0.3325.181,,2018-04-03 11:13:38,2018-04-03 11:13:39,0.774s,PASSED
setText,Chrome 65.0.3325.181,,2018-04-03 11:13:39,2018-04-03 11:13:39,0.449s,PASSED
click,Chrome 65.0.3325.181,,2018-04-03 11:13:39,2018-04-03 11:13:39,0.182s,PASSED
waitForElementPresent,Chrome 65.0.3325.181,,2018-04-03 11:13:39,2018-04-03 11:13:44,4.837s,PASSED
verifyElementText,Chrome 65.0.3325.181,,2018-04-03 11:13:44,2018-04-03 11:13:44,0.136s,PASSED
click,Chrome 65.0.3325.181,,2018-04-03 11:13:44,2018-04-03 11:13:45,0.825s,FAILED
,,,,,,
Test Cases/Account/Account_Change_Password,Chrome 65.0.3325.181,,2018-04-03 11:13:45,2018-04-03 11:14:46,1m - 1.476s,PASSED
openBrowser,Chrome 65.0.3325.181,,2018-04-03 11:13:45,2018-04-03 11:13:48,2.806s,PASSED
navigateToUrl,Chrome 65.0.3325.181,,2018-04-03 11:13:48,2018-04-03 11:14:00,11.846s,PASSED
maximizeWindow,Chrome 65.0.3325.181,,2018-04-03 11:14:00,2018-04-03 11:14:01,1.163s,PASSED
"Statement - pass = ""111111""",Chrome 65.0.3325.181,,2018-04-03 11:14:01,2018-04-03 11:14:01,0.000s,PASSED
"Statement - wrongpass = ""123123123123""",Chrome 65.0.3325.181,,2018-04-03 11:14:01,2018-04-03 11:14:01,0.001s,PASSED
"Statement - newpass = ""222222""",Chrome 65.0.3325.181,,2018-04-03 11:14:01,2018-04-03 11:14:01,0.001s,PASSED
"Statement - mail = ""rostyslav.biliaiev@route-report.com""",Chrome 65.0.3325.181,,2018-04-03 11:14:01,2018-04-03 11:14:01,0.000s,PASSED
click,Chrome 65.0.3325.181,,2018-04-03 11:14:01,2018-04-03 11:14:01,0.111s,PASSED
setText,Chrome 65.0.3325.181,,2018-04-03 11:14:01,2018-04-03 11:14:02,0.964s,PASSED
setText,Chrome 65.0.3325.181,,2018-04-03 11:14:02,2018-04-03 11:14:03,1.315s,PASSED
click,Chrome 65.0.3325.181,,2018-04-03 11:14:03,2018-04-03 11:14:04,0.135s,PASSED
verifyElementPresent,Chrome 65.0.3325.181,,2018-04-03 11:14:04,2018-04-03 11:14:19,15.779s,PASSED
delay,Chrome 65.0.3325.181,,2018-04-03 11:14:19,2018-04-03 11:14:20,1.033s,PASSED
click,Chrome 65.0.3325.181,,2018-04-03 11:14:20,2018-04-03 11:14:21,0.184s,PASSED
waitForElementVisible,Chrome 65.0.3325.181,,2018-04-03 11:14:21,2018-04-03 11:14:21,0.627s,PASSED
setText,Chrome 65.0.3325.181,,2018-04-03 11:14:21,2018-04-03 11:14:21,0.265s,PASSED
setText,Chrome 65.0.3325.181,,2018-04-03 11:14:21,2018-04-03 11:14:22,0.146s,PASSED
