Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Clicks_without_logging,Chrome 65.0.3325.181,,2018-04-03 10:36:27,2018-04-03 10:42:01,5m - 33.368s,PASSED
,,,,,,
Test Cases/Clicks_with_out_login/Clicks (About Us) - without logging,Chrome 65.0.3325.181,,2018-04-03 10:36:28,2018-04-03 10:37:03,35.256s,PASSED
openBrowser,Chrome 65.0.3325.181,,2018-04-03 10:36:28,2018-04-03 10:36:32,4.269s,PASSED
navigateToUrl,Chrome 65.0.3325.181,,2018-04-03 10:36:32,2018-04-03 10:36:36,3.503s,PASSED
maximizeWindow,Chrome 65.0.3325.181,,2018-04-03 10:36:36,2018-04-03 10:36:37,1.186s,PASSED
click,Chrome 65.0.3325.181,,2018-04-03 10:36:37,2018-04-03 10:36:37,0.216s,PASSED
delay,Chrome 65.0.3325.181,,2018-04-03 10:36:37,2018-04-03 10:36:38,1.029s,PASSED
verifyElementPresent,Chrome 65.0.3325.181,,2018-04-03 10:36:38,2018-04-03 10:36:39,0.118s,PASSED
click,Chrome 65.0.3325.181,,2018-04-03 10:36:39,2018-04-03 10:36:39,0.111s,PASSED
click,Chrome 65.0.3325.181,,2018-04-03 10:36:39,2018-04-03 10:36:39,0.238s,PASSED
delay,Chrome 65.0.3325.181,,2018-04-03 10:36:39,2018-04-03 10:36:40,1.007s,PASSED
verifyElementPresent,Chrome 65.0.3325.181,,2018-04-03 10:36:40,2018-04-03 10:36:40,0.026s,PASSED
click,Chrome 65.0.3325.181,,2018-04-03 10:36:40,2018-04-03 10:36:40,0.104s,PASSED
click,Chrome 65.0.3325.181,,2018-04-03 10:36:40,2018-04-03 10:36:40,0.194s,PASSED
delay,Chrome 65.0.3325.181,,2018-04-03 10:36:40,2018-04-03 10:36:41,1.004s,PASSED
verifyElementPresent,Chrome 65.0.3325.181,,2018-04-03 10:36:41,2018-04-03 10:36:41,0.015s,PASSED
click,Chrome 65.0.3325.181,,2018-04-03 10:36:41,2018-04-03 10:36:41,0.109s,PASSED
click,Chrome 65.0.3325.181,,2018-04-03 10:36:41,2018-04-03 10:36:42,0.170s,PASSED
switchToWindowTitle,Chrome 65.0.3325.181,,2018-04-03 10:36:42,2018-04-03 10:36:43,1.283s,PASSED
Statement - titleWindowManual_1 = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getWindowTitle(),Chrome 65.0.3325.181,,2018-04-03 10:36:43,2018-04-03 10:36:43,0.030s,PASSED
verifyMatch,Chrome 65.0.3325.181,,2018-04-03 10:36:43,2018-04-03 10:36:43,0.011s,PASSED
closeWindowTitle,Chrome 65.0.3325.181,,2018-04-03 10:36:43,2018-04-03 10:36:43,0.372s,PASSED
switchToWindowTitle,Chrome 65.0.3325.181,,2018-04-03 10:36:43,2018-04-03 10:36:43,0.150s,PASSED
