Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Account,Chrome 65.0.3325.181,,2018-04-02 09:20:14,2018-04-02 09:21:59,1m - 44.571s,FAILED
,,,,,,
Test Cases/Account/Account_Change_data,Chrome 65.0.3325.181,,2018-04-02 09:20:15,2018-04-02 09:20:24,9.152s,FAILED
openBrowser,Chrome 65.0.3325.181,,2018-04-02 09:20:15,2018-04-02 09:20:18,3.198s,PASSED
navigateToUrl,Chrome 65.0.3325.181,,2018-04-02 09:20:18,2018-04-02 09:20:21,2.693s,PASSED
maximizeWindow,Chrome 65.0.3325.181,,2018-04-02 09:20:21,2018-04-02 09:20:22,1.167s,PASSED
click,Chrome 65.0.3325.181,,2018-04-02 09:20:22,2018-04-02 09:20:22,0.109s,PASSED
Statement - mydate = new java.util.Date(),Chrome 65.0.3325.181,,2018-04-02 09:20:22,2018-04-02 09:20:22,0.007s,PASSED
"Statement - dateHour = mydate.format(""HHmmss"")",Chrome 65.0.3325.181,,2018-04-02 09:20:22,2018-04-02 09:20:22,0.004s,PASSED
"Statement - x = ""time"" + dateHour",Chrome 65.0.3325.181,,2018-04-02 09:20:22,2018-04-02 09:20:22,0.001s,PASSED
setText,Chrome 65.0.3325.181,,2018-04-02 09:20:22,2018-04-02 09:20:23,0.686s,PASSED
setText,Chrome 65.0.3325.181,,2018-04-02 09:20:23,2018-04-02 09:20:23,0.164s,PASSED
click,Chrome 65.0.3325.181,,2018-04-02 09:20:23,2018-04-02 09:20:24,0.632s,FAILED
,,,,,,
Test Cases/Account/Account_Change_Password,Chrome 65.0.3325.181,,2018-04-02 09:20:24,2018-04-02 09:20:33,8.767s,FAILED
openBrowser,Chrome 65.0.3325.181,,2018-04-02 09:20:24,2018-04-02 09:20:27,2.979s,PASSED
navigateToUrl,Chrome 65.0.3325.181,,2018-04-02 09:20:27,2018-04-02 09:20:30,2.786s,PASSED
maximizeWindow,Chrome 65.0.3325.181,,2018-04-02 09:20:30,2018-04-02 09:20:31,1.171s,PASSED
"Statement - pass = ""111111""",Chrome 65.0.3325.181,,2018-04-02 09:20:31,2018-04-02 09:20:31,0.000s,PASSED
"Statement - wrongpass = ""123123123123""",Chrome 65.0.3325.181,,2018-04-02 09:20:31,2018-04-02 09:20:31,0.001s,PASSED
"Statement - newpass = ""222222""",Chrome 65.0.3325.181,,2018-04-02 09:20:31,2018-04-02 09:20:31,0.000s,PASSED
"Statement - mail = ""rostyslav.biliaiev@route-report.com""",Chrome 65.0.3325.181,,2018-04-02 09:20:31,2018-04-02 09:20:31,0.000s,PASSED
click,Chrome 65.0.3325.181,,2018-04-02 09:20:31,2018-04-02 09:20:31,0.086s,PASSED
setText,Chrome 65.0.3325.181,,2018-04-02 09:20:31,2018-04-02 09:20:32,0.764s,PASSED
setText,Chrome 65.0.3325.181,,2018-04-02 09:20:32,2018-04-02 09:20:32,0.129s,PASSED
click,Chrome 65.0.3325.181,,2018-04-02 09:20:32,2018-04-02 09:20:33,0.662s,FAILED
,,,,,,
Test Cases/Account/Account_Add_and_Edit_Post,Chrome 65.0.3325.181,,2018-04-02 09:20:33,2018-04-02 09:21:14,41.483s,PASSED
openBrowser,Chrome 65.0.3325.181,,2018-04-02 09:20:33,2018-04-02 09:20:36,2.939s,PASSED
navigateToUrl,Chrome 65.0.3325.181,,2018-04-02 09:20:36,2018-04-02 09:20:39,3.107s,PASSED
maximizeWindow,Chrome 65.0.3325.181,,2018-04-02 09:20:39,2018-04-02 09:20:40,1.153s,PASSED
Statement - mydate = new java.util.Date(),Chrome 65.0.3325.181,,2018-04-02 09:20:40,2018-04-02 09:20:40,0.001s,PASSED
"Statement - formattedDate = mydate.format(""MMdd"")",Chrome 65.0.3325.181,,2018-04-02 09:20:40,2018-04-02 09:20:40,0.000s,PASSED
"Statement - dateHour = mydate.format(""HHmm"")",Chrome 65.0.3325.181,,2018-04-02 09:20:40,2018-04-02 09:20:40,0.000s,PASSED
"Statement - dateHourfull = mydate.format(""HHmmss"")",Chrome 65.0.3325.181,,2018-04-02 09:20:40,2018-04-02 09:20:40,0.001s,PASSED
"Statement - pass = ""111111""",Chrome 65.0.3325.181,,2018-04-02 09:20:40,2018-04-02 09:20:40,0.001s,PASSED
"Statement - mail = ""rostyslav.biliaiev@route-report.com""",Chrome 65.0.3325.181,,2018-04-02 09:20:40,2018-04-02 09:20:40,0.001s,PASSED
"Statement - title_small = ""YO""",Chrome 65.0.3325.181,,2018-04-02 09:20:40,2018-04-02 09:20:40,0.000s,PASSED
"Statement - title = ""Automated Test was executed""",Chrome 65.0.3325.181,,2018-04-02 09:20:40,2018-04-02 09:20:40,0.000s,PASSED
"Statement - post_text_small = ""Short text""",Chrome 65.0.3325.181,,2018-04-02 09:20:40,2018-04-02 09:20:40,0.000s,PASSED
"Statement - post_text = ""Automated Test Executed Automated Test Executed Automated Test Executed Automated Test Executed Automated Test Executed Automated Test Executed""",Chrome 65.0.3325.181,,2018-04-02 09:20:40,2018-04-02 09:20:40,0.001s,PASSED
"Statement - youtube = ""https://youtu.be/Mb-7AWpXK-o""",Chrome 65.0.3325.181,,2018-04-02 09:20:40,2018-04-02 09:20:40,0.001s,PASSED
"Statement - post_text_edited = ""This post was edited""",Chrome 65.0.3325.181,,2018-04-02 09:20:40,2018-04-02 09:20:40,0.000s,PASSED
click,Chrome 65.0.3325.181,,2018-04-02 09:20:40,2018-04-02 09:20:40,0.077s,PASSED
setText,Chrome 65.0.3325.181,,2018-04-02 09:20:40,2018-04-02 09:20:41,0.827s,PASSED
setText,Chrome 65.0.3325.181,,2018-04-02 09:20:41,2018-04-02 09:20:41,0.137s,PASSED
click,Chrome 65.0.3325.181,,2018-04-02 09:20:41,2018-04-02 09:20:41,0.308s,PASSED
verifyElementPresent,Chrome 65.0.3325.181,,2018-04-02 09:20:41,2018-04-02 09:20:49,7.432s,PASSED
delay,Chrome 65.0.3325.181,,2018-04-02 09:20:49,2018-04-02 09:20:50,1.021s,PASSED
click,Chrome 65.0.3325.181,,2018-04-02 09:20:50,2018-04-02 09:20:50,0.542s,PASSED
delay,Chrome 65.0.3325.181,,2018-04-02 09:20:50,2018-04-02 09:20:51,1.002s,PASSED
click,Chrome 65.0.3325.181,,2018-04-02 09:20:51,2018-04-02 09:20:52,0.808s,PASSED
waitForElementVisible,Chrome 65.0.3325.181,,2018-04-02 09:20:52,2018-04-02 09:20:52,0.071s,PASSED
click,Chrome 65.0.3325.181,,2018-04-02 09:20:52,2018-04-02 09:20:52,0.109s,PASSED
verifyElementVisible,Chrome 65.0.3325.181,,2018-04-02 09:20:52,2018-04-02 09:20:52,0.064s,PASSED
verifyElementVisible,Chrome 65.0.3325.181,,2018-04-02 09:20:52,2018-04-02 09:20:53,0.060s,PASSED
setText,Chrome 65.0.3325.181,,2018-04-02 09:20:53,2018-04-02 09:20:53,0.194s,PASSED
setText,Chrome 65.0.3325.181,,2018-04-02 09:20:53,2018-04-02 09:20:53,0.194s,PASSED
delay,Chrome 65.0.3325.181,,2018-04-02 09:20:53,2018-04-02 09:20:54,1.003s,PASSED
click,Chrome 65.0.3325.181,,2018-04-02 09:20:54,2018-04-02 09:20:54,0.135s,PASSED
verifyElementVisible,Chrome 65.0.3325.181,,2018-04-02 09:20:54,2018-04-02 09:20:54,0.035s,PASSED
verifyElementVisible,Chrome 65.0.3325.181,,2018-04-02 09:20:54,2018-04-02 09:20:54,0.030s,PASSED
clearText,Chrome 65.0.3325.181,,2018-04-02 09:20:54,2018-04-02 09:20:54,0.029s,PASSED
clearText,Chrome 65.0.3325.181,,2018-04-02 09:20:54,2018-04-02 09:20:54,0.026s,PASSED
setText,Chrome 65.0.3325.181,,2018-04-02 09:20:54,2018-04-02 09:20:55,0.356s,PASSED
setText,Chrome 65.0.3325.181,,2018-04-02 09:20:55,2018-04-02 09:20:56,0.967s,PASSED
uploadFile,Chrome 65.0.3325.181,,2018-04-02 09:20:56,2018-04-02 09:20:56,0.249s,PASSED
waitForElementVisible,Chrome 65.0.3325.181,,2018-04-02 09:20:56,2018-04-02 09:21:02,6.561s,PASSED
click,Chrome 65.0.3325.181,,2018-04-02 09:21:02,2018-04-02 09:21:02,0.088s,PASSED
delay,Chrome 65.0.3325.181,,2018-04-02 09:21:02,2018-04-02 09:21:03,1.002s,PASSED
click,Chrome 65.0.3325.181,,2018-04-02 09:21:03,2018-04-02 09:21:04,0.135s,PASSED
waitForElementVisible,Chrome 65.0.3325.181,,2018-04-02 09:21:04,2018-04-02 09:21:04,0.060s,PASSED
