Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Login_Registration,Chrome 65.0.3325.181,,2018-04-03 10:48:33,2018-04-03 10:50:37,2m - 4.761s,FAILED
,,,,,,
Test Cases/Login_Registration_Test_Cases/Login_Reg-Login with a valid email and password,Chrome 65.0.3325.181,,2018-04-03 10:48:33,2018-04-03 10:48:43,9.738s,FAILED
openBrowser,Chrome 65.0.3325.181,,2018-04-03 10:48:33,2018-04-03 10:48:36,3.067s,PASSED
navigateToUrl,Chrome 65.0.3325.181,,2018-04-03 10:48:36,2018-04-03 10:48:40,3.487s,PASSED
maximizeWindow,Chrome 65.0.3325.181,,2018-04-03 10:48:40,2018-04-03 10:48:41,1.183s,PASSED
click,Chrome 65.0.3325.181,,2018-04-03 10:48:41,2018-04-03 10:48:41,0.105s,PASSED
setText,Chrome 65.0.3325.181,,2018-04-03 10:48:41,2018-04-03 10:48:42,0.746s,PASSED
setText,Chrome 65.0.3325.181,,2018-04-03 10:48:42,2018-04-03 10:48:42,0.111s,PASSED
click,Chrome 65.0.3325.181,,2018-04-03 10:48:42,2018-04-03 10:48:43,0.654s,FAILED
,,,,,,
Test Cases/Login_Registration_Test_Cases/Login_Reg-Log in with incorrect invalid email or password,Chrome 65.0.3325.181,,2018-04-03 10:48:43,2018-04-03 10:48:52,8.861s,FAILED
openBrowser,Chrome 65.0.3325.181,,2018-04-03 10:48:43,2018-04-03 10:48:46,2.720s,PASSED
navigateToUrl,Chrome 65.0.3325.181,,2018-04-03 10:48:46,2018-04-03 10:48:49,3.191s,PASSED
maximizeWindow,Chrome 65.0.3325.181,,2018-04-03 10:48:49,2018-04-03 10:48:50,1.159s,PASSED
click,Chrome 65.0.3325.181,,2018-04-03 10:48:50,2018-04-03 10:48:50,0.095s,PASSED
setText,Chrome 65.0.3325.181,,2018-04-03 10:48:50,2018-04-03 10:48:51,0.774s,PASSED
setText,Chrome 65.0.3325.181,,2018-04-03 10:48:51,2018-04-03 10:48:51,0.110s,PASSED
click,Chrome 65.0.3325.181,,2018-04-03 10:48:51,2018-04-03 10:48:52,0.656s,FAILED
,,,,,,
Test Cases/Login_Registration_Test_Cases/Login_Reg-Entering non-valid mail in the mail input field,Chrome 65.0.3325.181,,2018-04-03 10:48:52,2018-04-03 10:49:01,9.770s,PASSED
openBrowser,Chrome 65.0.3325.181,,2018-04-03 10:48:52,2018-04-03 10:48:54,2.720s,PASSED
navigateToUrl,Chrome 65.0.3325.181,,2018-04-03 10:48:54,2018-04-03 10:48:57,2.533s,PASSED
maximizeWindow,Chrome 65.0.3325.181,,2018-04-03 10:48:57,2018-04-03 10:48:58,1.164s,PASSED
click,Chrome 65.0.3325.181,,2018-04-03 10:48:58,2018-04-03 10:48:58,0.128s,PASSED
setText,Chrome 65.0.3325.181,,2018-04-03 10:48:58,2018-04-03 10:48:59,0.671s,PASSED
verifyElementPresent,Chrome 65.0.3325.181,,2018-04-03 10:48:59,2018-04-03 10:49:01,1.620s,PASSED
closeBrowser,Chrome 65.0.3325.181,,2018-04-03 10:49:01,2018-04-03 10:49:01,0.810s,PASSED
,,,,,,
Test Cases/Login_Registration_Test_Cases/Login_Reg-Login with input only mail (no password),Chrome 65.0.3325.181,,2018-04-03 10:49:01,2018-04-03 10:49:09,7.744s,FAILED
openBrowser,Chrome 65.0.3325.181,,2018-04-03 10:49:01,2018-04-03 10:49:03,1.982s,PASSED
navigateToUrl,Chrome 65.0.3325.181,,2018-04-03 10:49:03,2018-04-03 10:49:07,3.061s,PASSED
maximizeWindow,Chrome 65.0.3325.181,,2018-04-03 10:49:07,2018-04-03 10:49:08,1.165s,PASSED
click,Chrome 65.0.3325.181,,2018-04-03 10:49:08,2018-04-03 10:49:08,0.090s,PASSED
setText,Chrome 65.0.3325.181,,2018-04-03 10:49:08,2018-04-03 10:49:08,0.722s,PASSED
click,Chrome 65.0.3325.181,,2018-04-03 10:49:08,2018-04-03 10:49:09,0.591s,FAILED
,,,,,,
Test Cases/Login_Registration_Test_Cases/Login_Reg-Login with password only (no mail),Chrome 65.0.3325.181,,2018-04-03 10:49:09,2018-04-03 10:49:20,10.959s,PASSED
openBrowser,Chrome 65.0.3325.181,,2018-04-03 10:49:09,2018-04-03 10:49:12,2.732s,PASSED
navigateToUrl,Chrome 65.0.3325.181,,2018-04-03 10:49:12,2018-04-03 10:49:15,3.248s,PASSED
maximizeWindow,Chrome 65.0.3325.181,,2018-04-03 10:49:15,2018-04-03 10:49:16,1.174s,PASSED
click,Chrome 65.0.3325.181,,2018-04-03 10:49:16,2018-04-03 10:49:16,0.089s,PASSED
setText,Chrome 65.0.3325.181,,2018-04-03 10:49:16,2018-04-03 10:49:17,0.686s,PASSED
delay,Chrome 65.0.3325.181,,2018-04-03 10:49:17,2018-04-03 10:49:19,2.018s,PASSED
click,Chrome 65.0.3325.181,,2018-04-03 10:49:19,2018-04-03 10:49:19,0.124s,PASSED
verifyElementPresent,Chrome 65.0.3325.181,,2018-04-03 10:49:19,2018-04-03 10:49:19,0.033s,PASSED
closeBrowser,Chrome 65.0.3325.181,,2018-04-03 10:49:19,2018-04-03 10:49:20,0.714s,PASSED
,,,,,,
Test Cases/Login_Registration_Test_Cases/Login_Reg-Recovering the password with the wrong key,Chrome 65.0.3325.181,,2018-04-03 10:49:20,2018-04-03 10:49:28,7.699s,FAILED
openBrowser,Chrome 65.0.3325.181,,2018-04-03 10:49:20,2018-04-03 10:49:22,2.029s,PASSED
navigateToUrl,Chrome 65.0.3325.181,,2018-04-03 10:49:22,2018-04-03 10:49:25,2.887s,PASSED
maximizeWindow,Chrome 65.0.3325.181,,2018-04-03 10:49:25,2018-04-03 10:49:26,1.157s,PASSED
click,Chrome 65.0.3325.181,,2018-04-03 10:49:26,2018-04-03 10:49:26,0.088s,PASSED
setText,Chrome 65.0.3325.181,,2018-04-03 10:49:26,2018-04-03 10:49:27,0.738s,PASSED
click,Chrome 65.0.3325.181,,2018-04-03 10:49:27,2018-04-03 10:49:28,0.620s,FAILED
,,,,,,
Test Cases/Login_Registration_Test_Cases/Login_Reg-Password recovery with no key input,Chrome 65.0.3325.181,,2018-04-03 10:49:28,2018-04-03 10:49:36,8.262s,FAILED
openBrowser,Chrome 65.0.3325.181,,2018-04-03 10:49:28,2018-04-03 10:49:31,2.715s,PASSED
navigateToUrl,Chrome 65.0.3325.181,,2018-04-03 10:49:31,2018-04-03 10:49:33,2.795s,PASSED
maximizeWindow,Chrome 65.0.3325.181,,2018-04-03 10:49:33,2018-04-03 10:49:35,1.173s,PASSED
click,Chrome 65.0.3325.181,,2018-04-03 10:49:35,2018-04-03 10:49:35,0.095s,PASSED
setText,Chrome 65.0.3325.181,,2018-04-03 10:49:35,2018-04-03 10:49:35,0.733s,PASSED
click,Chrome 65.0.3325.181,,2018-04-03 10:49:35,2018-04-03 10:49:36,0.597s,FAILED
,,,,,,
Test Cases/Login_Registration_Test_Cases/Login_reg- Password recovery with different new passwords,Chrome 65.0.3325.181,,2018-04-03 10:49:36,2018-04-03 10:49:52,16.445s,PASSED
openBrowser,Chrome 65.0.3325.181,,2018-04-03 10:49:36,2018-04-03 10:49:39,2.838s,PASSED
navigateToUrl,Chrome 65.0.3325.181,,2018-04-03 10:49:39,2018-04-03 10:49:42,2.736s,PASSED
maximizeWindow,Chrome 65.0.3325.181,,2018-04-03 10:49:42,2018-04-03 10:49:43,1.158s,PASSED
click,Chrome 65.0.3325.181,,2018-04-03 10:49:43,2018-04-03 10:49:43,0.086s,PASSED
setText,Chrome 65.0.3325.181,,2018-04-03 10:49:43,2018-04-03 10:49:44,0.747s,PASSED
delay,Chrome 65.0.3325.181,,2018-04-03 10:49:44,2018-04-03 10:49:45,1.003s,PASSED
click,Chrome 65.0.3325.181,,2018-04-03 10:49:45,2018-04-03 10:49:45,0.143s,PASSED
delay,Chrome 65.0.3325.181,,2018-04-03 10:49:45,2018-04-03 10:49:46,1.003s,PASSED
setText,Chrome 65.0.3325.181,,2018-04-03 10:49:46,2018-04-03 10:49:46,0.201s,PASSED
setText,Chrome 65.0.3325.181,,2018-04-03 10:49:46,2018-04-03 10:49:46,0.137s,PASSED
