Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Login_Registration,Chrome 65.0.3325.181,,2018-03-23 13:00:03,2018-03-23 13:01:11,1m - 7.551s,PASSED
,,,,,,
Test Cases/Login_Reg-Login with a valid email and password,Chrome 65.0.3325.181,,2018-03-23 13:00:04,2018-03-23 13:00:19,14.728s,PASSED
openBrowser,Chrome 65.0.3325.181,,2018-03-23 13:00:04,2018-03-23 13:00:07,3.055s,PASSED
navigateToUrl,Chrome 65.0.3325.181,,2018-03-23 13:00:07,2018-03-23 13:00:10,2.799s,PASSED
maximizeWindow,Chrome 65.0.3325.181,,2018-03-23 13:00:10,2018-03-23 13:00:11,1.186s,PASSED
click,Chrome 65.0.3325.181,,2018-03-23 13:00:11,2018-03-23 13:00:11,0.130s,PASSED
setText,Chrome 65.0.3325.181,,2018-03-23 13:00:11,2018-03-23 13:00:12,0.967s,PASSED
setText,Chrome 65.0.3325.181,,2018-03-23 13:00:12,2018-03-23 13:00:13,0.414s,PASSED
click,Chrome 65.0.3325.181,,2018-03-23 13:00:13,2018-03-23 13:00:13,0.142s,PASSED
verifyElementPresent,Chrome 65.0.3325.181,,2018-03-23 13:00:13,2018-03-23 13:00:18,4.851s,PASSED
closeBrowser,Chrome 65.0.3325.181,,2018-03-23 13:00:18,2018-03-23 13:00:19,0.803s,PASSED
,,,,,,
Test Cases/Login_Reg-Log in with incorrect invalid email or password,Chrome 65.0.3325.181,,2018-03-23 13:00:19,2018-03-23 13:00:31,12.173s,PASSED
openBrowser,Chrome 65.0.3325.181,,2018-03-23 13:00:19,2018-03-23 13:00:21,2.053s,PASSED
navigateToUrl,Chrome 65.0.3325.181,,2018-03-23 13:00:21,2018-03-23 13:00:27,5.919s,PASSED
maximizeWindow,Chrome 65.0.3325.181,,2018-03-23 13:00:27,2018-03-23 13:00:28,1.167s,PASSED
click,Chrome 65.0.3325.181,,2018-03-23 13:00:28,2018-03-23 13:00:28,0.119s,PASSED
setText,Chrome 65.0.3325.181,,2018-03-23 13:00:28,2018-03-23 13:00:29,0.755s,PASSED
setText,Chrome 65.0.3325.181,,2018-03-23 13:00:29,2018-03-23 13:00:29,0.150s,PASSED
click,Chrome 65.0.3325.181,,2018-03-23 13:00:29,2018-03-23 13:00:29,0.356s,PASSED
verifyElementPresent,Chrome 65.0.3325.181,,2018-03-23 13:00:29,2018-03-23 13:00:30,0.610s,PASSED
closeBrowser,Chrome 65.0.3325.181,,2018-03-23 13:00:30,2018-03-23 13:00:31,0.791s,PASSED
,,,,,,
Test Cases/Login_Reg-Entering non-valid mail in the mail input field,Chrome 65.0.3325.181,,2018-03-23 13:00:31,2018-03-23 13:00:41,9.731s,PASSED
openBrowser,Chrome 65.0.3325.181,,2018-03-23 13:00:31,2018-03-23 13:00:33,1.981s,PASSED
