Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Add_report,Chrome 65.0.3325.181,,2018-04-03 12:34:33,2018-04-03 12:48:40,14m - 7.139s,PASSED
,,,,,,
Test Cases/Create_report/Step 1,Chrome 65.0.3325.181,,2018-04-03 12:34:33,2018-04-03 12:36:16,1m - 43.192s,PASSED
openBrowser,Chrome 65.0.3325.181,,2018-04-03 12:34:34,2018-04-03 12:34:41,7.070s,PASSED
navigateToUrl,Chrome 65.0.3325.181,,2018-04-03 12:34:41,2018-04-03 12:34:45,4.684s,PASSED
maximizeWindow,Chrome 65.0.3325.181,,2018-04-03 12:34:45,2018-04-03 12:34:47,1.265s,PASSED
"Statement - mail = ""rostyslav.biliaiev@route-report.com""",Chrome 65.0.3325.181,,2018-04-03 12:34:47,2018-04-03 12:34:47,0.001s,PASSED
"Statement - pass = ""111111""",Chrome 65.0.3325.181,,2018-04-03 12:34:47,2018-04-03 12:34:47,0.000s,PASSED
Statement - bigtext = org.apache.commons.lang.RandomStringUtils.randomNumeric(2000),Chrome 65.0.3325.181,,2018-04-03 12:34:47,2018-04-03 12:34:47,0.011s,PASSED
Statement - mydate = new java.util.Date(),Chrome 65.0.3325.181,,2018-04-03 12:34:47,2018-04-03 12:34:47,0.022s,PASSED
"Statement - formattedDate = mydate.format(""MMdd"")",Chrome 65.0.3325.181,,2018-04-03 12:34:47,2018-04-03 12:34:47,0.004s,PASSED
"Statement - dateHour = mydate.format(""HHmmss"")",Chrome 65.0.3325.181,,2018-04-03 12:34:47,2018-04-03 12:34:47,0.001s,PASSED
"Statement - x = ""_date_"" + formattedDate + ""_time_"" + dateHour",Chrome 65.0.3325.181,,2018-04-03 12:34:47,2018-04-03 12:34:47,0.001s,PASSED
"Statement - title = ""Automated test was executed"" + x",Chrome 65.0.3325.181,,2018-04-03 12:34:47,2018-04-03 12:34:47,0.000s,PASSED
"Statement - authors_text = ""Text from authors Text from authors Text from authors Text from authors Text from authors Text from authors Text from authors Text from authors Text from authors """,Chrome 65.0.3325.181,,2018-04-03 12:34:47,2018-04-03 12:34:47,0.011s,PASSED
"Statement - youtube = ""https://youtu.be/2VjmdTtcEQE""",Chrome 65.0.3325.181,,2018-04-03 12:34:47,2018-04-03 12:34:47,0.008s,PASSED
click,Chrome 65.0.3325.181,,2018-04-03 12:34:47,2018-04-03 12:34:47,0.448s,PASSED
setText,Chrome 65.0.3325.181,,2018-04-03 12:34:47,2018-04-03 12:34:49,1.726s,PASSED
setText,Chrome 65.0.3325.181,,2018-04-03 12:34:49,2018-04-03 12:34:49,0.442s,PASSED
click,Chrome 65.0.3325.181,,2018-04-03 12:34:49,2018-04-03 12:34:50,0.233s,PASSED
verifyElementPresent,Chrome 65.0.3325.181,,2018-04-03 12:34:50,2018-04-03 12:35:01,11.342s,PASSED
delay,Chrome 65.0.3325.181,,2018-04-03 12:35:01,2018-04-03 12:35:03,2.080s,PASSED
click,Chrome 65.0.3325.181,,2018-04-03 12:35:03,2018-04-03 12:35:03,0.261s,PASSED
waitForElementVisible,Chrome 65.0.3325.181,,2018-04-03 12:35:03,2018-04-03 12:35:05,1.453s,PASSED
delay,Chrome 65.0.3325.181,,2018-04-03 12:35:05,2018-04-03 12:35:07,2.003s,PASSED
click,Chrome 65.0.3325.181,,2018-04-03 12:35:07,2018-04-03 12:35:12,5.248s,PASSED
delay,Chrome 65.0.3325.181,,2018-04-03 12:35:12,2018-04-03 12:35:15,3.010s,PASSED
switchToWindowTitle,Chrome 65.0.3325.181,,2018-04-03 12:35:15,2018-04-03 12:35:15,0.121s,PASSED
waitForElementVisible,Chrome 65.0.3325.181,,2018-04-03 12:35:15,2018-04-03 12:35:15,0.110s,PASSED
click,Chrome 65.0.3325.181,,2018-04-03 12:35:15,2018-04-03 12:35:16,0.393s,PASSED
click,Chrome 65.0.3325.181,,2018-04-03 12:35:16,2018-04-03 12:35:16,0.537s,PASSED
selectOptionByIndex,Chrome 65.0.3325.181,,2018-04-03 12:35:16,2018-04-03 12:35:17,0.398s,PASSED
delay,Chrome 65.0.3325.181,,2018-04-03 12:35:17,2018-04-03 12:35:18,1.002s,PASSED
click,Chrome 65.0.3325.181,,2018-04-03 12:35:18,2018-04-03 12:35:18,0.715s,PASSED
click,Chrome 65.0.3325.181,,2018-04-03 12:35:18,2018-04-03 12:35:19,0.511s,PASSED
delay,Chrome 65.0.3325.181,,2018-04-03 12:35:19,2018-04-03 12:35:20,1.009s,PASSED
click,Chrome 65.0.3325.181,,2018-04-03 12:35:20,2018-04-03 12:35:20,0.265s,PASSED
click,Chrome 65.0.3325.181,,2018-04-03 12:35:20,2018-04-03 12:35:21,0.467s,PASSED
